Comedy,21,0.000672,4181,0.133702,4202,0.134374,22909,0.732596
Drama,1428,0.045665,747,0.023888,2175,0.069553,29777,0.952224
Action,6,0.000192,1822,0.058265,1828,0.058457,27627,0.883470
Documentary,5,0.000160,1194,0.038182,1199,0.038342,28883,0.923635
Adult,0,0.000000,113,0.003614,113,0.003614,31045,0.992773
Romance,1,0.000032,2869,0.091746,2870,0.091778,25533,0.816507
Thriller,2,0.000064,2627,0.084008,2629,0.084072,26017,0.831985
Animation,0,0.000000,708,0.022641,708,0.022641,29855,0.954718
Family,1,0.000032,1578,0.050462,1579,0.050494,28115,0.899076
Horror,1,0.000032,2012,0.064341,2013,0.064373,27247,0.871318
Music,0,0.000000,1147,0.036679,1147,0.036679,28977,0.926641
Crime,0,0.000000,1796,0.057433,1796,0.057433,27679,0.885133
Adventure,0,0.000000,2173,0.069489,2173,0.069489,26925,0.861021
Fantasy,0,0.000000,1469,0.046976,1469,0.046976,28333,0.906047
Sci-Fi,0,0.000000,1593,0.050942,1593,0.050942,28085,0.898116
Mystery,0,0.000000,1846,0.059032,1846,0.059032,27579,0.881935
Biography,0,0.000000,943,0.030156,943,0.030156,29385,0.939689
History,0,0.000000,998,0.031915,998,0.031915,29275,0.936171
Sport,0,0.000000,581,0.018580,581,0.018580,30109,0.962841
Musical,0,0.000000,814,0.026031,814,0.026031,29643,0.947939
War,0,0.000000,965,0.030859,965,0.030859,29341,0.938281
Western,0,0.000000,620,0.019827,620,0.019827,30031,0.960347
News,0,0.000000,142,0.004541,142,0.004541,30987,0.990918
Reality-TV,0,0.000000,114,0.003646,114,0.003646,31043,0.992709
## Total: 11446 of 31271 (0.366026) movies completely correctly classified ##
Total,1465,0.001952,33052,0.044040,34517,0.045992,715987,0.954008
