Comedy,45,0.001439,3390,0.108407,3435,0.109846,24491,0.783186
Drama,970,0.031019,1156,0.036967,2126,0.067986,28959,0.926066
Action,9,0.000288,1898,0.060695,1907,0.060983,27475,0.878610
Documentary,5,0.000160,825,0.026382,830,0.026542,29621,0.947235
Adult,0,0.000000,76,0.002430,76,0.002430,31119,0.995139
Romance,3,0.000096,2888,0.092354,2891,0.092450,25495,0.815292
Thriller,3,0.000096,2523,0.080682,2526,0.080778,26225,0.838636
Animation,1,0.000032,550,0.017588,551,0.017620,30171,0.964824
Family,5,0.000160,1200,0.038374,1205,0.038534,28871,0.923252
Horror,4,0.000128,1099,0.035144,1103,0.035272,29073,0.929711
Music,2,0.000064,792,0.025327,794,0.025391,29687,0.949346
Crime,0,0.000000,1860,0.059480,1860,0.059480,27551,0.881040
Adventure,0,0.000000,1704,0.054491,1704,0.054491,27863,0.891017
Fantasy,0,0.000000,1102,0.035240,1102,0.035240,29067,0.929519
Sci-Fi,0,0.000000,876,0.028013,876,0.028013,29519,0.943974
Mystery,0,0.000000,1431,0.045761,1431,0.045761,28409,0.908478
Biography,0,0.000000,875,0.027981,875,0.027981,29521,0.944038
History,0,0.000000,860,0.027502,860,0.027502,29551,0.944997
Sport,2,0.000064,543,0.017364,545,0.017428,30185,0.965271
Musical,0,0.000000,797,0.025487,797,0.025487,29677,0.949026
War,0,0.000000,622,0.019891,622,0.019891,30027,0.960219
Western,1,0.000032,349,0.011161,350,0.011192,30573,0.977679
News,0,0.000000,142,0.004541,142,0.004541,30987,0.990918
Reality-TV,0,0.000000,114,0.003646,114,0.003646,31043,0.992709
## Total: 13887 of 31271 (0.444086) movies completely correctly classified ##
Total,1050,0.001399,27672,0.036871,28722,0.038270,721782,0.961730
