Comedy,49,0.001567,3034,0.097023,3083,0.098590,25203,0.805954
Drama,771,0.024655,1432,0.045793,2203,0.070449,28407,0.908414
Action,11,0.000352,1861,0.059512,1872,0.059864,27549,0.880976
Documentary,5,0.000160,847,0.027086,852,0.027246,29577,0.945828
Adult,0,0.000000,79,0.002526,79,0.002526,31113,0.994947
Romance,3,0.000096,3038,0.097151,3041,0.097247,25195,0.805699
Thriller,2,0.000064,2640,0.084423,2642,0.084487,25991,0.831153
Animation,1,0.000032,594,0.018995,595,0.019027,30083,0.962010
Family,5,0.000160,1185,0.037895,1190,0.038054,28901,0.924211
Horror,4,0.000128,1110,0.035496,1114,0.035624,29051,0.929008
Music,2,0.000064,860,0.027502,862,0.027565,29551,0.944997
Crime,0,0.000000,1880,0.060120,1880,0.060120,27511,0.879761
Adventure,0,0.000000,1678,0.053660,1678,0.053660,27915,0.892680
Fantasy,0,0.000000,1101,0.035208,1101,0.035208,29069,0.929583
Sci-Fi,0,0.000000,884,0.028269,884,0.028269,29503,0.943462
Mystery,0,0.000000,1425,0.045569,1425,0.045569,28421,0.908861
Biography,0,0.000000,915,0.029260,915,0.029260,29441,0.941479
History,0,0.000000,919,0.029388,919,0.029388,29433,0.941223
Sport,2,0.000064,551,0.017620,553,0.017684,30169,0.964760
Musical,0,0.000000,803,0.025679,803,0.025679,29665,0.948643
War,0,0.000000,671,0.021458,671,0.021458,29929,0.957085
Western,0,0.000000,370,0.011832,370,0.011832,30531,0.976336
News,0,0.000000,142,0.004541,142,0.004541,30987,0.990918
Reality-TV,0,0.000000,114,0.003646,114,0.003646,31043,0.992709
## Total: 13718 of 31271 (0.438681) movies completely correctly classified ##
Total,855,0.001139,28133,0.037485,28988,0.038625,721516,0.961375
