Biography;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Biography;960;944;875;944;943;943;943;942;942;942;945;942;941;940;940;938;936;927;915;908;892
Biography;0.030699;0.030188;0.027981;0.030188;0.030156;0.030156;0.030156;0.030124;0.030124;0.030124;0.030220;0.030124;0.030092;0.030060;0.030060;0.029996;0.029932;0.029644;0.029260;0.029036;0.028525
Biography;960;944;875;944;943;943;943;942;942;942;945;942;941;940;940;938;936;927;915;908;892
Biography;0.030699;0.030188;0.027981;0.030188;0.030156;0.030156;0.030156;0.030124;0.030124;0.030124;0.030220;0.030124;0.030092;0.030060;0.030060;0.029996;0.029932;0.029644;0.029260;0.029036;0.028525
Biography;29351;29383;29521;29383;29385;29385;29385;29387;29387;29387;29381;29387;29389;29391;29391;29395;29399;29417;29441;29455;29487
Biography;0.938601;0.939625;0.944038;0.939625;0.939689;0.939689;0.939689;0.939752;0.939752;0.939752;0.939561;0.939752;0.939816;0.939880;0.939880;0.940008;0.940136;0.940712;0.941479;0.941927;0.942950
Comedy;0;7;45;32;21;35;33;41;32;44;0;40;48;46;53;43;54;46;49;47;54
Comedy;0.000000;0.000224;0.001439;0.001023;0.000672;0.001119;0.001055;0.001311;0.001023;0.001407;0.000000;0.001279;0.001535;0.001471;0.001695;0.001375;0.001727;0.001471;0.001567;0.001503;0.001727
Comedy;8900;5774;3390;2182;4181;2795;3432;2890;3828;2648;6499;3479;3047;3242;2835;3596;2822;3184;3034;3192;2749
Comedy;0.284609;0.184644;0.108407;0.069777;0.133702;0.089380;0.109750;0.092418;0.122414;0.084679;0.207828;0.111253;0.097439;0.103674;0.090659;0.114995;0.090243;0.101820;0.097023;0.102075;0.087909
Comedy;8900;5781;3435;2214;4202;2830;3465;2931;3860;2692;6499;3519;3095;3288;2888;3639;2876;3230;3083;3239;2803
Comedy;0.284609;0.184868;0.109846;0.070800;0.134374;0.090499;0.110806;0.093729;0.123437;0.086086;0.207828;0.112532;0.098973;0.105145;0.092354;0.116370;0.091970;0.103291;0.098590;0.103578;0.089636
Comedy;13471;19723;24491;26907;22909;25681;24407;25491;23615;25975;18273;24313;25177;24787;25601;24079;25627;24903;25203;24887;25773
Comedy;0.430783;0.630712;0.783186;0.860446;0.732596;0.821240;0.780500;0.815164;0.755173;0.830642;0.584343;0.777494;0.805123;0.792651;0.818682;0.770011;0.819513;0.796361;0.805954;0.795849;0.824182
Crime;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crime;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Crime;3001;2884;1860;2290;1796;1777;1773;1788;1796;1805;2932;1807;1828;1819;1845;1841;1872;1857;1880;1862;1888
Crime;0.095968;0.092226;0.059480;0.073231;0.057433;0.056826;0.056698;0.057178;0.057433;0.057721;0.093761;0.057785;0.058457;0.058169;0.059000;0.058872;0.059864;0.059384;0.060120;0.059544;0.060375
Crime;3001;2884;1860;2290;1796;1777;1773;1788;1796;1805;2932;1807;1828;1819;1845;1841;1872;1857;1880;1862;1888
Crime;0.095968;0.092226;0.059480;0.073231;0.057433;0.056826;0.056698;0.057178;0.057433;0.057721;0.093761;0.057785;0.058457;0.058169;0.059000;0.058872;0.059864;0.059384;0.060120;0.059544;0.060375
Crime;25269;25503;27551;26691;27679;27717;27725;27695;27679;27661;25407;27657;27615;27633;27581;27589;27527;27557;27511;27547;27495
Crime;0.808065;0.815548;0.881040;0.853538;0.885133;0.886348;0.886604;0.885645;0.885133;0.884558;0.812478;0.884430;0.883087;0.883662;0.881999;0.882255;0.880272;0.881232;0.879761;0.880912;0.879249
Documentary;0;3;5;4;5;6;6;6;6;6;0;5;5;5;5;5;5;5;5;5;5
Documentary;0.000000;0.000096;0.000160;0.000128;0.000160;0.000192;0.000192;0.000192;0.000192;0.000192;0.000000;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160
Documentary;3593;2148;825;1482;1194;1038;991;955;932;923;2728;904;887;878;868;858;851;850;847;838;837
Documentary;0.114899;0.068690;0.026382;0.047392;0.038182;0.033194;0.031691;0.030539;0.029804;0.029516;0.087237;0.028909;0.028365;0.028077;0.027757;0.027438;0.027214;0.027182;0.027086;0.026798;0.026766
Documentary;3593;2151;830;1486;1199;1044;997;961;938;929;2728;909;892;883;873;863;856;855;852;843;842
Documentary;0.114899;0.068786;0.026542;0.047520;0.038342;0.033386;0.031883;0.030731;0.029996;0.029708;0.087237;0.029068;0.028525;0.028237;0.027917;0.027597;0.027374;0.027342;0.027246;0.026958;0.026926
Documentary;24085;26975;29621;28307;28883;29195;29289;29361;29407;29425;25815;29463;29497;29515;29535;29555;29569;29571;29577;29595;29597
Documentary;0.770202;0.862620;0.947235;0.905216;0.923635;0.933613;0.936619;0.938921;0.940392;0.940968;0.825525;0.942183;0.943270;0.943846;0.944485;0.945125;0.945573;0.945637;0.945828;0.946404;0.946468
Drama;0;1598;970;453;1428;651;1244;741;1076;817;145;1159;659;1155;828;954;902;1045;771;1090;837
Drama;0.000000;0.051102;0.031019;0.014486;0.045665;0.020818;0.039781;0.023696;0.034409;0.026126;0.004637;0.037063;0.021074;0.036935;0.026478;0.030507;0.028845;0.033418;0.024655;0.034857;0.026766
Drama;13288;631;1156;1739;747;1571;926;1459;1067;1354;1778;979;1556;981;1349;1189;1255;1084;1432;1017;1320
Drama;0.424930;0.020178;0.036967;0.055611;0.023888;0.050238;0.029612;0.046657;0.034121;0.043299;0.056858;0.031307;0.049759;0.031371;0.043139;0.038022;0.040133;0.034665;0.045793;0.032522;0.042212
Drama;13288;2229;2126;2192;2175;2222;2170;2200;2143;2171;1923;2138;2215;2136;2177;2143;2157;2129;2203;2107;2157
Drama;0.424930;0.071280;0.067986;0.070097;0.069553;0.071056;0.069393;0.070353;0.068530;0.069425;0.061495;0.068370;0.070832;0.068306;0.069617;0.068530;0.068978;0.068082;0.070449;0.067379;0.068978
Drama;4695;30009;28959;27793;29777;28129;29419;28353;29137;28563;27715;29313;28159;29309;28573;28893;28761;29103;28407;29237;28631
Drama;0.150139;0.959643;0.926066;0.888779;0.952224;0.899524;0.940776;0.906687;0.931758;0.913402;0.886284;0.937386;0.900483;0.937258;0.913722;0.923955;0.919734;0.930671;0.908414;0.934956;0.915577
Family;0;0;5;0;1;1;1;2;2;4;0;4;4;4;5;5;5;5;5;5;5
Family;0.000000;0.000000;0.000160;0.000000;0.000032;0.000032;0.000032;0.000064;0.000064;0.000128;0.000000;0.000128;0.000128;0.000128;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160
Family;2150;1583;1200;1581;1578;1569;1550;1497;1379;1244;1585;1192;1181;1183;1182;1179;1184;1179;1185;1194;1202
Family;0.068754;0.050622;0.038374;0.050558;0.050462;0.050174;0.049567;0.047872;0.044098;0.039781;0.050686;0.038118;0.037767;0.037831;0.037799;0.037703;0.037863;0.037703;0.037895;0.038182;0.038438
Family;2150;1583;1205;1581;1579;1570;1551;1499;1381;1248;1585;1196;1185;1187;1187;1184;1189;1184;1190;1199;1207
Family;0.068754;0.050622;0.038534;0.050558;0.050494;0.050206;0.049599;0.047936;0.044162;0.039909;0.050686;0.038246;0.037895;0.037958;0.037958;0.037863;0.038022;0.037863;0.038054;0.038342;0.038598
Family;26971;28105;28871;28109;28115;28133;28171;28277;28513;28783;28101;28887;28909;28905;28907;28913;28903;28913;28901;28883;28867
Family;0.862492;0.898756;0.923252;0.898884;0.899076;0.899651;0.900867;0.904256;0.911803;0.920437;0.898628;0.923763;0.924467;0.924339;0.924403;0.924595;0.924275;0.924595;0.924211;0.923635;0.923124
Fantasy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fantasy;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Fantasy;1512;1473;1102;1472;1469;1468;1465;1454;1437;1401;1477;1354;1288;1215;1157;1125;1108;1105;1101;1102;1099
