Comedy,1374,0.011579,21777,0.183515,23151,0.195094,75112,0.632970
Drama,12952,0.109147,16003,0.134857,28955,0.244004,86660,0.730285
Action,518,0.004365,7555,0.063666,8073,0.068031,103556,0.872668
Documentary,705,0.005941,14444,0.121720,15149,0.127661,89778,0.756560
Adult,892,0.007517,372,0.003135,1264,0.010652,117922,0.993730
Romance,329,0.002772,8106,0.068309,8435,0.071082,102454,0.863381
Thriller,308,0.002596,7374,0.062141,7682,0.064736,103918,0.875718
Animation,239,0.002014,5307,0.044722,5546,0.046736,108052,0.910556
Family,123,0.001037,6102,0.051422,6225,0.052458,106462,0.897157
Horror,383,0.003228,5008,0.042202,5391,0.045430,108650,0.915595
Music,288,0.002427,4180,0.035225,4468,0.037652,110306,0.929550
Crime,367,0.003093,6275,0.052880,6642,0.055972,106116,0.894241
Adventure,213,0.001795,5692,0.047967,5905,0.049762,107282,0.904067
Fantasy,126,0.001062,3878,0.032680,4004,0.033742,110910,0.934640
Sci-Fi,225,0.001896,3762,0.031702,3987,0.033599,111142,0.936595
Mystery,44,0.000371,3692,0.031113,3736,0.031483,111282,0.937775
Biography,35,0.000295,2584,0.021775,2619,0.022070,113498,0.956449
History,42,0.000354,2589,0.021818,2631,0.022171,113488,0.956365
Sport,106,0.000893,2307,0.019441,2413,0.020334,114052,0.961118
Musical,31,0.000261,2022,0.017039,2053,0.017301,114622,0.965921
War,222,0.001871,2305,0.019424,2527,0.021295,114056,0.961151
Western,80,0.000674,2160,0.018202,2240,0.018877,114346,0.963595
News,11,0.000093,702,0.005916,713,0.006008,117262,0.988168
Reality-TV,7,0.000059,1169,0.009851,1176,0.009910,116328,0.980298
## Total: 34765 of 118666 (0.292965) movies completely correctly classified ##
Total,19620,0.006889,135365,0.047530,154985,0.054419,2692999,0.945581
