Comedy,1529,0.012885,21520,0.181349,23049,0.194234,75626,0.637301
Drama,12944,0.109079,15879,0.133813,28823,0.242892,86908,0.732375
Action,597,0.005031,7448,0.062764,8045,0.067795,103770,0.874471
Documentary,746,0.006287,14295,0.120464,15041,0.126751,90076,0.759072
Adult,785,0.006615,400,0.003371,1185,0.009986,117866,0.993258
Romance,414,0.003489,8075,0.068048,8489,0.071537,102516,0.863904
Thriller,371,0.003126,7348,0.061922,7719,0.065048,103970,0.876157
Animation,272,0.002292,5240,0.044158,5512,0.046450,108186,0.911685
Family,134,0.001129,6085,0.051278,6219,0.052408,106496,0.897443
Horror,420,0.003539,4971,0.041891,5391,0.045430,108724,0.916219
Music,315,0.002655,4116,0.034686,4431,0.037340,110434,0.930629
Crime,413,0.003480,6242,0.052601,6655,0.056082,106182,0.894797
Adventure,243,0.002048,5671,0.047790,5914,0.049837,107324,0.904421
Fantasy,134,0.001129,3868,0.032596,4002,0.033725,110930,0.934809
Sci-Fi,245,0.002065,3740,0.031517,3985,0.033582,111186,0.936966
Mystery,48,0.000404,3685,0.031054,3733,0.031458,111296,0.937893
Biography,37,0.000312,2583,0.021767,2620,0.022079,113500,0.956466
History,51,0.000430,2585,0.021784,2636,0.022214,113496,0.956432
Sport,138,0.001163,2259,0.019037,2397,0.020200,114148,0.961927
Musical,32,0.000270,2016,0.016989,2048,0.017259,114634,0.966022
War,248,0.002090,2290,0.019298,2538,0.021388,114086,0.961404
Western,93,0.000784,2142,0.018051,2235,0.018834,114382,0.963899
News,11,0.000093,701,0.005907,712,0.006000,117264,0.988185
Reality-TV,7,0.000059,1169,0.009851,1176,0.009910,116328,0.980298
## Total: 35047 of 118666 (0.295342) movies completely correctly classified ##
Total,20227,0.007102,134328,0.047166,154555,0.054268,2693429,0.945732
