Comedy,866,0.007298,22533,0.189886,23399,0.197184,73600,0.620228
Drama,12371,0.104251,17068,0.143832,29439,0.248083,84530,0.712335
Action,357,0.003008,7831,0.065992,8188,0.069000,103004,0.868016
Documentary,530,0.004466,14881,0.125402,15411,0.129869,88904,0.749195
Adult,1529,0.012885,310,0.002612,1839,0.015497,118046,0.994775
Romance,130,0.001096,8219,0.069262,8349,0.070357,102228,0.861477
Thriller,197,0.001660,7416,0.062495,7613,0.064155,103834,0.875011
Animation,143,0.001205,5498,0.046332,5641,0.047537,107670,0.907337
Family,83,0.000699,6159,0.051902,6242,0.052601,106348,0.896196
Horror,245,0.002065,5165,0.043526,5410,0.045590,108336,0.912949
Music,211,0.001778,4392,0.037011,4603,0.038790,109882,0.925977
Crime,208,0.001753,6540,0.055113,6748,0.056865,105586,0.889775
Adventure,129,0.001087,5795,0.048835,5924,0.049922,107076,0.902331
Fantasy,91,0.000767,3896,0.032832,3987,0.033599,110874,0.934337
Sci-Fi,193,0.001626,3819,0.032183,4012,0.033809,111028,0.935634
Mystery,24,0.000202,3697,0.031155,3721,0.031357,111272,0.937691
Biography,26,0.000219,2585,0.021784,2611,0.022003,113496,0.956432
History,22,0.000185,2598,0.021893,2620,0.022079,113470,0.956213
Sport,67,0.000565,2362,0.019905,2429,0.020469,113942,0.960191
Musical,25,0.000211,2025,0.017065,2050,0.017275,114616,0.965871
War,141,0.001188,2387,0.020115,2528,0.021303,113892,0.959769
Western,57,0.000480,2205,0.018582,2262,0.019062,114256,0.962837
News,10,0.000084,703,0.005924,713,0.006008,117260,0.988152
Reality-TV,4,0.000034,1169,0.009851,1173,0.009885,116328,0.980298
## Total: 33494 of 118666 (0.282254) movies completely correctly classified ##
Total,17659,0.006201,139253,0.048895,156912,0.055096,2691072,0.944904
