Comedy,1462,0.012320,21644,0.182394,23106,0.194715,75378,0.635211
Drama,12959,0.109206,15927,0.134217,28886,0.243423,86812,0.731566
Action,563,0.004744,7491,0.063127,8054,0.067871,103684,0.873746
Documentary,728,0.006135,14356,0.120978,15084,0.127113,89954,0.758044
Adult,831,0.007003,388,0.003270,1219,0.010273,117890,0.993461
Romance,367,0.003093,8089,0.068166,8456,0.071259,102488,0.863668
Thriller,340,0.002865,7358,0.062006,7698,0.064871,103950,0.875988
Animation,260,0.002191,5269,0.044402,5529,0.046593,108128,0.911196
Family,126,0.001062,6096,0.051371,6222,0.052433,106474,0.897258
Horror,398,0.003354,4988,0.042034,5386,0.045388,108690,0.915932
Music,300,0.002528,4142,0.034905,4442,0.037433,110382,0.930191
Crime,391,0.003295,6259,0.052745,6650,0.056040,106148,0.894511
Adventure,232,0.001955,5681,0.047874,5913,0.049829,107304,0.904252
Fantasy,132,0.001112,3875,0.032655,4007,0.033767,110916,0.934691
Sci-Fi,239,0.002014,3748,0.031584,3987,0.033599,111170,0.936831
Mystery,47,0.000396,3692,0.031113,3739,0.031509,111282,0.937775
Biography,35,0.000295,2583,0.021767,2618,0.022062,113500,0.956466
History,47,0.000396,2588,0.021809,2635,0.022205,113490,0.956382
Sport,128,0.001079,2281,0.019222,2409,0.020301,114104,0.961556
Musical,31,0.000261,2022,0.017039,2053,0.017301,114622,0.965921
War,236,0.001989,2295,0.019340,2531,0.021329,114076,0.961320
Western,88,0.000742,2152,0.018135,2240,0.018877,114362,0.963730
News,11,0.000093,701,0.005907,712,0.006000,117264,0.988185
Reality-TV,7,0.000059,1169,0.009851,1176,0.009910,116328,0.980298
## Total: 34921 of 118666 (0.294280) movies completely correctly classified ##
Total,19958,0.007008,134794,0.047330,154752,0.054337,2693232,0.945663
