Comedy,1547,0.013037,21487,0.181071,23034,0.194108,75692,0.637858
Drama,12933,0.108987,15866,0.133703,28799,0.242690,86934,0.732594
Action,629,0.005301,7431,0.062621,8060,0.067922,103804,0.874758
Documentary,752,0.006337,14272,0.120270,15024,0.126607,90122,0.759459
Adult,771,0.006497,403,0.003396,1174,0.009893,117860,0.993208
Romance,427,0.003598,8071,0.068014,8498,0.071613,102524,0.863971
Thriller,377,0.003177,7347,0.061913,7724,0.065090,103972,0.876173
Animation,275,0.002317,5235,0.044115,5510,0.046433,108196,0.911769
Family,134,0.001129,6081,0.051245,6215,0.052374,106504,0.897511
Horror,428,0.003607,4964,0.041832,5392,0.045438,108738,0.916337
Music,324,0.002730,4107,0.034610,4431,0.037340,110452,0.930781
Crime,419,0.003531,6241,0.052593,6660,0.056124,106184,0.894814
Adventure,248,0.002090,5666,0.047747,5914,0.049837,107334,0.904505
Fantasy,142,0.001197,3867,0.032587,4009,0.033784,110932,0.934825
Sci-Fi,253,0.002132,3733,0.031458,3986,0.033590,111200,0.937084
Mystery,48,0.000404,3684,0.031045,3732,0.031450,111298,0.937910
Biography,37,0.000312,2583,0.021767,2620,0.022079,113500,0.956466
History,51,0.000430,2584,0.021775,2635,0.022205,113498,0.956449
Sport,141,0.001188,2259,0.019037,2400,0.020225,114148,0.961927
Musical,32,0.000270,2016,0.016989,2048,0.017259,114634,0.966022
War,253,0.002132,2287,0.019273,2540,0.021405,114092,0.961455
Western,94,0.000792,2138,0.018017,2232,0.018809,114390,0.963966
News,11,0.000093,701,0.005907,712,0.006000,117264,0.988185
Reality-TV,7,0.000059,1169,0.009851,1176,0.009910,116328,0.980298
## Total: 35088 of 118666 (0.295687) movies completely correctly classified ##
Total,20333,0.007139,134192,0.047118,154525,0.054258,2693459,0.945742
