Comedy,3136,0.041856,9733,0.129907,12869,0.171763,55457,0.740187
Drama,7914,0.105628,11003,0.146857,18917,0.252486,52917,0.706285
Action,1372,0.018312,4585,0.061196,5957,0.079508,65753,0.877608
Documentary,2838,0.037879,3566,0.047596,6404,0.085474,67791,0.904809
Adult,0,0.000000,548,0.007314,548,0.007314,73827,0.985372
Romance,1213,0.016190,6190,0.082618,7403,0.098808,62543,0.834764
Thriller,1254,0.016737,6040,0.080616,7294,0.097353,62843,0.838768
Animation,522,0.006967,2891,0.038586,3413,0.045553,69141,0.922827
Family,479,0.006393,4726,0.063078,5205,0.069471,65471,0.873844
Horror,1131,0.015095,3003,0.040081,4134,0.055177,68917,0.919838
Music,605,0.008075,2208,0.029470,2813,0.037545,70507,0.941059
Crime,1434,0.019140,3470,0.046314,4904,0.065454,67983,0.907372
Adventure,1001,0.013360,3777,0.050412,4778,0.063772,67369,0.899176
Fantasy,838,0.011185,3163,0.042217,4001,0.053401,68597,0.915567
Sci-Fi,995,0.013280,2215,0.029564,3210,0.042844,70493,0.940873
Mystery,980,0.013080,2985,0.039841,3965,0.052921,68953,0.920318
Biography,1028,0.013721,3239,0.043231,4267,0.056952,68445,0.913538
History,1046,0.013961,2760,0.036838,3806,0.050799,69403,0.926324
Sport,14,0.000187,1508,0.020127,1522,0.020314,71907,0.959745
Musical,1,0.000013,1482,0.019780,1483,0.019794,71959,0.960439
War,158,0.002109,1833,0.024465,1991,0.026574,71257,0.951070
Western,48,0.000641,1318,0.017591,1366,0.018232,72287,0.964817
News,0,0.000000,1374,0.018339,1374,0.018339,72175,0.963322
Reality-TV,0,0.000000,637,0.008502,637,0.008502,73649,0.982996
## Total: 18236 of 74923 (0.243397) movies completely correctly classified ##
Total,28007,0.015575,84254,0.046856,112261,0.062431,1685891,0.937569
