Action;12;1265;142;1609;2434;2349;2200;2037;1909;0;1797;1713;1645;1566;1502;1458;1412;1372;1325;1296
Action;0.000160;0.016884;0.001895;0.021475;0.032487;0.031352;0.029363;0.027188;0.025479;0.000000;0.023985;0.022863;0.021956;0.020901;0.020047;0.019460;0.018846;0.018312;0.017685;0.017298
Action;6574;4640;6349;4906;4310;4299;4320;4340;4385;6587;4409;4438;4484;4499;4529;4558;4578;4585;4602;4615
Action;0.087743;0.061930;0.084740;0.065481;0.057526;0.057379;0.057659;0.057926;0.058527;0.087917;0.058847;0.059234;0.059848;0.060048;0.060449;0.060836;0.061103;0.061196;0.061423;0.061597
Action;6586;5905;6491;6515;6744;6648;6520;6377;6294;6587;6206;6151;6129;6065;6031;6016;5990;5957;5927;5911
Action;0.087904;0.078814;0.086636;0.086956;0.090012;0.088731;0.087023;0.085114;0.084006;0.087917;0.082832;0.082098;0.081804;0.080950;0.080496;0.080296;0.079949;0.079508;0.079108;0.078894
Action;61775;65643;62225;65111;66303;66325;66283;66243;66153;61749;66105;66047;65955;65925;65865;65807;65767;65753;65719;65693
Action;0.824513;0.876140;0.830519;0.869039;0.884949;0.885242;0.884682;0.884148;0.882946;0.824166;0.882306;0.881532;0.880304;0.879903;0.879103;0.878328;0.877795;0.877608;0.877154;0.876807
Adult;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adult;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Adult;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548
Adult;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314
Adult;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548
Adult;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314;0.007314
Adult;73827;73827;73827;73827;73827;73827;73827;73827;73827;73827;73827;73827;73827;73827;73827;73827;73827;73827;73827;73827
Adult;0.985372;0.985372;0.985372;0.985372;0.985372;0.985372;0.985372;0.985372;0.985372;0.985372;0.985372;0.985372;0.985372;0.985372;0.985372;0.985372;0.985372;0.985372;0.985372;0.985372
Adventure;0;858;0;1;14;108;428;954;1378;0;1465;1415;1350;1264;1188;1105;1047;1001;934;893
Adventure;0.000000;0.011452;0.000000;0.000013;0.000187;0.001441;0.005713;0.012733;0.018392;0.000000;0.019553;0.018886;0.018018;0.016871;0.015856;0.014748;0.013974;0.013360;0.012466;0.011919
Adventure;4714;3821;4714;4714;4704;4621;4361;4013;3795;4714;3711;3696;3712;3717;3722;3742;3763;3777;3786;3811
Adventure;0.062918;0.050999;0.062918;0.062918;0.062784;0.061677;0.058206;0.053562;0.050652;0.062918;0.049531;0.049331;0.049544;0.049611;0.049678;0.049945;0.050225;0.050412;0.050532;0.050866
Adventure;4714;4679;4714;4715;4718;4729;4789;4967;5173;4714;5176;5111;5062;4981;4910;4847;4810;4778;4720;4704
Adventure;0.062918;0.062451;0.062918;0.062931;0.062971;0.063118;0.063919;0.066295;0.069044;0.062918;0.069084;0.068217;0.067563;0.066482;0.065534;0.064693;0.064199;0.063772;0.062998;0.062784
Adventure;65495;67281;65495;65495;65515;65681;66201;66897;67333;65495;67501;67531;67499;67489;67479;67439;67397;67369;67351;67301
Adventure;0.874164;0.898002;0.874164;0.874164;0.874431;0.876647;0.883587;0.892877;0.898696;0.874164;0.900938;0.901339;0.900912;0.900778;0.900645;0.900111;0.899550;0.899176;0.898936;0.898269
Animation;0;663;0;0;0;0;0;0;8;0;16;27;60;112;197;310;426;522;616;651
Animation;0.000000;0.008849;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000107;0.000000;0.000214;0.000360;0.000801;0.001495;0.002629;0.004138;0.005686;0.006967;0.008222;0.008689
Animation;4153;2716;4153;4152;4145;4139;4119;4085;4045;4153;3974;3864;3727;3561;3383;3210;3031;2891;2785;2747
Animation;0.055430;0.036251;0.055430;0.055417;0.055323;0.055243;0.054976;0.054523;0.053989;0.055430;0.053041;0.051573;0.049744;0.047529;0.045153;0.042844;0.040455;0.038586;0.037171;0.036664
Animation;4153;3379;4153;4152;4145;4139;4119;4085;4053;4153;3990;3891;3787;3673;3580;3520;3457;3413;3401;3398
Animation;0.055430;0.045100;0.055430;0.055417;0.055323;0.055243;0.054976;0.054523;0.054096;0.055430;0.053255;0.051933;0.050545;0.049024;0.047782;0.046982;0.046141;0.045553;0.045393;0.045353
Animation;66617;69491;66617;66619;66633;66645;66685;66753;66833;66617;66975;67195;67469;67801;68157;68503;68861;69141;69353;69429
Animation;0.889140;0.927499;0.889140;0.889166;0.889353;0.889513;0.890047;0.890955;0.892022;0.889140;0.893918;0.896854;0.900511;0.904942;0.909694;0.914312;0.919090;0.922827;0.925657;0.926671
Biography;0;938;0;0;2;3;11;46;116;0;247;427;642;828;944;1017;1028;1028;998;979
Biography;0.000000;0.012520;0.000000;0.000000;0.000027;0.000040;0.000147;0.000614;0.001548;0.000000;0.003297;0.005699;0.008569;0.011051;0.012600;0.013574;0.013721;0.013721;0.013320;0.013067
Biography;3648;3224;3648;3648;3647;3646;3644;3636;3622;3648;3580;3520;3437;3376;3334;3292;3256;3239;3229;3222
Biography;0.048690;0.043031;0.048690;0.048690;0.048677;0.048663;0.048637;0.048530;0.048343;0.048690;0.047782;0.046982;0.045874;0.045060;0.044499;0.043938;0.043458;0.043231;0.043098;0.043004
Biography;3648;4162;3648;3648;3649;3649;3655;3682;3738;3648;3827;3947;4079;4204;4278;4309;4284;4267;4227;4201
Biography;0.048690;0.055550;0.048690;0.048690;0.048703;0.048703;0.048783;0.049144;0.049891;0.048690;0.051079;0.052681;0.054443;0.056111;0.057099;0.057512;0.057179;0.056952;0.056418;0.056071
Biography;67627;68475;67627;67627;67629;67631;67635;67651;67679;67627;67763;67883;68049;68171;68255;68339;68411;68445;68465;68479
Biography;0.902620;0.913938;0.902620;0.902620;0.902647;0.902673;0.902727;0.902940;0.903314;0.902620;0.904435;0.906037;0.908252;0.909881;0.911002;0.912123;0.913084;0.913538;0.913805;0.913992
Comedy;6685;3537;1174;5798;2975;3624;3280;3555;3129;3994;3420;3235;3557;3125;3430;3287;3564;3136;3468;3333
Comedy;0.089225;0.047208;0.015669;0.077386;0.039707;0.048370;0.043778;0.047449;0.041763;0.053308;0.045647;0.043178;0.047475;0.041709;0.045780;0.043872;0.047569;0.041856;0.046288;0.044486
Comedy;7973;9204;14121;7935;10442;9512;9830;9439;9888;11312;9476;9681;9285;9781;9406;9559;9190;9733;9305;9461
Comedy;0.106416;0.122846;0.188473;0.105909;0.139370;0.126957;0.131201;0.125983;0.131975;0.150982;0.126477;0.129213;0.123927;0.130547;0.125542;0.127584;0.122659;0.129907;0.124194;0.126276
Comedy;14658;12741;15295;13733;13417;13136;13110;12994;13017;15306;12896;12916;12842;12906;12836;12846;12754;12869;12773;12794
Comedy;0.195641;0.170055;0.204143;0.183295;0.179077;0.175327;0.174980;0.173431;0.173738;0.204290;0.172123;0.172390;0.171403;0.172257;0.171323;0.171456;0.170228;0.171763;0.170482;0.170762
Comedy;58977;56515;46681;59053;54039;55899;55263;56045;55147;52299;55971;55561;56353;55361;56111;55805;56543;55457;56313;56001
Comedy;0.787168;0.754308;0.623053;0.788183;0.721260;0.746086;0.737597;0.748035;0.736049;0.698037;0.747047;0.741575;0.752146;0.738905;0.748916;0.744831;0.754681;0.740187;0.751612;0.747447
Crime;0;1307;6;51;393;1207;1766;1866;1859;0;1806;1736;1665;1618;1569;1527;1482;1434;1387;1343
Crime;0.000000;0.017445;0.000080;0.000681;0.005245;0.016110;0.023571;0.024906;0.024812;0.000000;0.024105;0.023170;0.022223;0.021596;0.020941;0.020381;0.019780;0.019140;0.018512;0.017925
Crime;4970;3527;4964;4896;4523;3866;3494;3410;3392;4970;3383;3389;3401;3403;3414;3438;3453;3470;3490;3508
Crime;0.066335;0.047075;0.066255;0.065347;0.060369;0.051600;0.046635;0.045513;0.045273;0.066335;0.045153;0.045233;0.045393;0.045420;0.045567;0.045887;0.046087;0.046314;0.046581;0.046821
Crime;4970;4834;4970;4947;4916;5073;5260;5276;5251;4970;5189;5125;5066;5021;4983;4965;4935;4904;4877;4851
Crime;0.066335;0.064520;0.066335;0.066028;0.065614;0.067710;0.070205;0.070419;0.070085;0.066335;0.069258;0.068404;0.067616;0.067015;0.066508;0.066268;0.065868;0.065454;0.065093;0.064746
Crime;64983;67869;64995;65131;65877;67191;67935;68103;68139;64983;68157;68145;68121;68117;68095;68047;68017;67983;67943;67907
Crime;0.867330;0.905850;0.867491;0.869306;0.879263;0.896801;0.906731;0.908973;0.909454;0.867330;0.909694;0.909534;0.909213;0.909160;0.908866;0.908226;0.907825;0.907372;0.906838;0.906357
Documentary;4419;2773;4212;3933;3708;3519;3400;3308;3218;2279;3158;3094;3040;2986;2944;2906;2864;2838;2811;2792
Documentary;0.058981;0.037011;0.056218;0.052494;0.049491;0.046968;0.045380;0.044152;0.042951;0.030418;0.042150;0.041296;0.040575;0.039854;0.039294;0.038786;0.038226;0.037879;0.037519;0.037265
Documentary;4659;3556;4345;4181;4045;3934;3855;3789;3749;8307;3714;3696;3671;3637;3610;3592;3580;3566;3568;3552
Documentary;0.062184;0.047462;0.057993;0.055804;0.053989;0.052507;0.051453;0.050572;0.050038;0.110874;0.049571;0.049331;0.048997;0.048543;0.048183;0.047943;0.047782;0.047596;0.047622;0.047409
Documentary;9078;6329;8557;8114;7753;7453;7255;7097;6967;10586;6872;6790;6711;6623;6554;6498;6444;6404;6379;6344
Documentary;0.121164;0.084473;0.114211;0.108298;0.103480;0.099475;0.096833;0.094724;0.092989;0.141292;0.091721;0.090626;0.089572;0.088397;0.087476;0.086729;0.086008;0.085474;0.085141;0.084674
Documentary;65605;67811;66233;66561;66833;67055;67213;67345;67425;58309;67495;67531;67581;67649;67703;67739;67763;67791;67787;67819
Documentary;0.875632;0.905076;0.884014;0.888392;0.892022;0.894986;0.897094;0.898856;0.899924;0.778252;0.900858;0.901339;0.902006;0.902914;0.903634;0.904115;0.904435;0.904809;0.904756;0.905183
Drama;19532;8811;3426;15011;5550;11152;7724;9124;8342;2699;9286;7722;9385;8224;8834;8168;9393;7914;8994;8515
Drama;0.260694;0.117601;0.045727;0.200352;0.074076;0.148846;0.103093;0.121778;0.111341;0.036024;0.123941;0.103066;0.125262;0.109766;0.117908;0.109019;0.125369;0.105628;0.120043;0.113650
Drama;4773;10190;18966;6360;14605;8534;11484;10062;10694;22946;9820;11274;9693;10756;10137;10786;9662;11003;10013;10465
