Comedy,3468,0.046288,9305,0.124194,12773,0.170482,56313,0.751612
Drama,8994,0.120043,10013,0.133644,19007,0.253687,54897,0.732712
Action,1325,0.017685,4602,0.061423,5927,0.079108,65719,0.877154
Documentary,2811,0.037519,3568,0.047622,6379,0.085141,67787,0.904756
Adult,0,0.000000,548,0.007314,548,0.007314,73827,0.985372
Romance,1209,0.016137,6182,0.082511,7391,0.098648,62559,0.834977
Thriller,1254,0.016737,6036,0.080563,7290,0.097300,62851,0.838875
Animation,616,0.008222,2785,0.037171,3401,0.045393,69353,0.925657
Family,451,0.006020,4731,0.063145,5182,0.069164,65461,0.873710
Horror,1094,0.014602,3002,0.040068,4096,0.054669,68919,0.919864
Music,655,0.008742,2161,0.028843,2816,0.037585,70601,0.942314
Crime,1387,0.018512,3490,0.046581,4877,0.065093,67943,0.906838
Adventure,934,0.012466,3786,0.050532,4720,0.062998,67351,0.898936
Fantasy,796,0.010624,3167,0.042270,3963,0.052894,68589,0.915460
Sci-Fi,1023,0.013654,2178,0.029070,3201,0.042724,70567,0.941860
Mystery,935,0.012479,2995,0.039974,3930,0.052454,68933,0.920051
Biography,998,0.013320,3229,0.043098,4227,0.056418,68465,0.913805
History,1116,0.014895,2740,0.036571,3856,0.051466,69443,0.926858
Sport,15,0.000200,1505,0.020087,1520,0.020287,71913,0.959825
Musical,1,0.000013,1482,0.019780,1483,0.019794,71959,0.960439
War,178,0.002376,1795,0.023958,1973,0.026334,71333,0.952084
Western,62,0.000828,1281,0.017098,1343,0.017925,72361,0.965805
News,0,0.000000,1374,0.018339,1374,0.018339,72175,0.963322
Reality-TV,0,0.000000,637,0.008502,637,0.008502,73649,0.982996
## Total: 18486 of 74923 (0.246733) movies completely correctly classified ##
Total,29322,0.016307,82592,0.045932,111914,0.062238,1686238,0.937762
